2.0 2.0 2.0   1.0 0.0 0.0   1.0   0.5   # left block, moving right
4.0 2.0 2.0   1.0 0.0 0.0   1.0   0.5
6.0 2.0 2.0  -1.0 0.0 0.0   1.0   0.5   # right block, moving left
8.0 2.0 2.0  -1.0 0.0 0.0   1.0   0.5
2.0 4.0 2.0   1.0 0.0 0.0   1.0   0.5
4.0 4.0 2.0   1.0 0.0 0.0   1.0   0.5
6.0 4.0 2.0  -1.0 0.0 0.0   1.0   0.5
8.0 4.0 2.0  -1.0 0.0 0.0   1.0   0.5
2.0 6.0 2.0   1.0 0.0 0.0   1.0   0.5
4.0 6.0 2.0   1.0 0.0 0.0   1.0   0.5
6.0 6.0 2.0  -1.0 0.0 0.0   1.0   0.5
8.0 6.0 2.0  -1.0 0.0 0.0   1.0   0.5
